,tips
222,Pseudoneurospora_amorphoporcata
223,Sorhu1
224,Sordaria_macrospora
225,Neurospora_hispaniola
226,Neurospora_tetrasperma
227,Neurospora_tetrasperma
228,Neurospora_crassa
229,Neurospora_crassa
230,Neurospora_crassa
231,Neurospora_tetraspora
232,Sordaria_brevicollis
233,Lasiosphaeria_ovina
234,Lasiosphaeria_miniovina
235,Podospora_didyma
236,Cercophora_newfieldiana
237,Podospora_aff.
238,Cercophora_caudata
239,Arnium
240,Podospora_tetraspora
241,Schizothecium_vesticola
242,Schizothecium_conicum
243,Lasiosphaeris_hirsuta
244,Lasiosphaeris_hispida
245,Apodospora_peruviana
246,Podospora_decipiens
247,Cercophora_scortea
248,Podospora_appendiculata
249,Bombardia_bombarda
250,Diplogelasinospora_grovesii
251,Xylaria_palmicola
252,Xylaria_longipes
253,Xylaria_acuta
254,Xylaria_curta
255,Xylaria_scruposa
256,Xylaria_flabelliformis
257,Xylaria_cubensis
258,Xylaria_cf.
259,Xylaria_telfairii
260,Xylaria_cf.
261,Astrocystis_sublimbata
262,Nemania_serpens
263,Nemania_serpens
264,Nemania_serpens
265,Nemania_sp.
266,Nemania_sp.
267,Hypoxylon_argillaceum
268,Nemania_diffusa
269,Nemania_sp.
270,Nemania_abortiva
271,Rosellinia_necatrix
272,Xylaria_sp.
273,Xylaria_sp.
274,Xylaria_sp.
275,Xylaria_sp.
276,Xylaria_venustula
277,Xylaria_arbuscula
278,Xylaria_arbuscula
279,Xylaria_bambusicola
280,Kretzschmaria_deusta
281,Kretzschmaria_deusta
282,Xylaria_sp.
283,Xylaria_digitata
284,Xylaria_grammica
285,Xylaria_intraflava
286,Xylaria_sp.
287,Xylaria_nigripes
288,Poronia_punctata
289,Xylariaceae_sp.
290,Xylariaceae_sp.
291,Xylariaceae_sp.
292,Xylariaceae_sp.
293,Xylariaceae_sp.
294,Xylariaceae_sp.
295,Xylariaceae_sp.
296,Xylariaceae_sp.
297,Xylariomycetidae_sp.
298,Biscogniauxia_marginata
299,Biscogniauxia_mediterranea
300,Biscogniauxia_mediterranea
301,Biscogniauxia_sp.
302,Camillea_tinctor
303,Xylariomycetidae_sp.
304,Annulohypoxylon_stygium
305,Annulohypoxylon_nitens
306,Rostrohypoxylon_terebratum
307,Annulohypoxylon_moriforme
308,Annulohypoxylon_truncatum
309,Annulohypoxylon_maeteangense
310,Annulohypoxylon_bovei
311,Annulohypoxylon_minutellum
312,Hypoxylon_sp.
313,Hypoxylon_sp.
314,Hypoxylon_sp.
315,Hypoxylon_sp.
316,Hypoxylon_sp.
317,Hypoxylon_sp.
318,Hypoxylon_trugodes
319,Hypoxylon_sp.
320,Hypoxylon_monticulosum
321,Hypoxylon_submonticulosum
322,Daldinia_grandis
323,Daldinia_loculata
324,Daldinia_loculata
325,Daldinia_decipiens
326,Daldinia_vernicosa
327,Daldinia_sp.
328,Daldinia_eschscholtzii
329,Daldinia_eschscholtzii
330,Daldinia_caldariorum
331,Daldinia_bambusicola
332,Hypoxylon_rubiginosum
333,Hypoxylon_sp.
334,Hypoxylon_cercidicola
335,Hypoxylon_rubiginosum
336,Hypoxylon_sp.
337,Hypoxylon_fuscum
338,Hypoxylon_crocopeplum
339,Hypoxylon_sp.
340,Hypoxylon_fragiforme
341,Durotheca_rogersii
342,Whalleya_microplaca
343,Xylariaceae_sp.
344,Eutypa_lata
345,Microdochium_bolleyi
346,Microdochium_trichocladiopsis
347,Pseudomassariella_vexata
348,Xylariales_sp.
349,Pestalotiopsis_sp.
350,Pestalotiopsis_fici
351,Truncatella_angustata
352,Umbilicaria_pustulata
353,Cladonia_grayi
354,Dibaeis_baeomyces
355,Graphis_scripta
356,Acarospora_strigata
357,Endocarpon_pusillum
358,Endocarpon_pallidulum
359,Exophiala_mesophila
360,Exophiala_aquamarina
361,Rhinocladiella_mackenziei
362,Fonsecaea_pedrosoi
363,Fonsecaea_monophora
364,Fonsecaea_nubica
365,Cladophialophora_immunda
366,Fonsecaea_erecta
367,Fonsecaea_multimorphosa
368,Cladophialophora_psammophila
369,Cladophialophora_bantiana
370,Cladophialophora_carrionii
371,Cladophialophora_yegresii
372,Capronia_semiimmersa
373,Exophiala_spinifera
374,Exophiala_oligosperma
375,Exophiala_xenobiotica
376,Exophiala_sideris
377,Capronia_epimyces
378,Capronia_coronata
379,Exophiala_dermatitidis
380,Phialophora_attae
381,Cyphellophora_europaea
382,Phaeomoniella_chlamydospora
383,Penicillium_digitatum
384,Penicillium_digitatum
385,Penicillium_italicum
386,Penicillium_expansum
387,Penicillium_solitum
388,Penicillium_camemberti
389,Penicillium_biforme
390,Penicillium_solitum
391,Penicillium_freii
392,Penicillium_polonicum
393,Penicillium_nordicum
394,Penicillium_thymicola
395,Penicillium_roqueforti
396,Penicillium_vulpinum
397,Penicillium_coprophilum
398,Penicillium_griseofulvum
399,Penicillium_chrysogenum
400,Penicillium_chrysogenum
401,Penicillium_flavigenum
402,Penicillium_nalgiovense
403,Penicillium_brevicompactum
404,Penicillium_antarcticum
405,Penicillium_arizonense
406,Penicillium_oxalicum
407,Penicillium_brasilianum
408,Penicillium_subrubescens
409,Penicillium_steckii
410,Penicillium_decumbens
411,Penicillium_cvjetkovicii
412,Aspeuc1
413,Aspneo1
414,Aspcos1
415,Aspergillus_tubingensis
416,Aspergillus_luchuensis
417,Aspvad1
418,Asppip1
419,Aspergillus_kawachii
420,Aspergillus_niger
421,Aspergillus_niger
422,Aspergillus_niger
423,Asplac1
424,Aspergillus_niger
425,Aspergillus_niger
426,Aspergillus_welwitschiae
427,Aspergillus_brasiliensis
428,Aspscl1
429,Aspergillus_carbonarius
430,Aspscle1
431,Aspibe1
432,Aspell1
433,Asphet1
434,Aspjap1
435,Aspvio1
436,Aspind1
437,Aspuva1
438,Aspfij1
439,Aspacu1
440,Aspbru1
441,Aspergillus_aculeatus
442,Aspsac1
443,Asphom1
444,Aspergillus_nidulans
445,Aspergillus_sydowii
446,Aspergillus_versicolor
447,Aspergillus_calidoustus
448,Aspergillus_ochraceoroseus
449,Aspergillus_rambellii
450,Aspergillus_ochraceoroseus
451,Aspergillus_flavus
452,Aspergillus_flavus
453,Aspergillus_parvisclerotigenus
454,Aspergillus_oryzae
455,Aspergillus_minisclerotigenes
456,Aspergillus_parasiticus
457,Aspergillus_transmontanensis
458,Aspergillus_sergii
459,Aspergillus_arachidicola
460,Aspergillus_novoparasiticus
461,Aspergillus_pseudocaelatus
462,Aspergillus_caelatus
463,Aspergillus_pseudotamarii
464,Aspergillus_tamarii
465,Aspergillus_nomius
466,Aspergillus_pseudonomius
467,Aspergillus_nomius3137_1
468,Aspergillus_bombycis
469,Aspergillus_bertholletius
470,Aspergillus_alliaceus
471,Aspergillus_albertensis
472,Aspergillus_coremiiformis
473,Aspergillus_leporis
474,Aspergillus_avenaceus
475,Aspergillus_steynii
476,Aspergillus_terreus
477,Asppseute1
478,Aspergillus_candidus
479,Aspergillus_campestris
480,Aspergillus_taichungensis
481,Neosartorya_fischeri
482,Aspergillus_fumigatus
483,Aspergillus_fumigatus
484,Aspergillus_novofumigatus
485,Aspergillus_udagawae
486,Aspergillus_clavatus
487,Aspergillus_glaucus
488,Eurotium_rubrum
489,Aspergillus_cristatus
490,Aspergillus_wentii
491,Aspergillus_zonatus
492,Paecilomyces_variotii
493,Paecilomyces_variotii
494,Byssochlamys_spectabilis
495,Paecilomyces_niveus
496,Talaromyces_marneffei
497,Penicillium_occitanis
498,Talaromyces_stipitatus
499,Talaromyces_borbonicus
500,Talaromyces_atroroseus
501,Talaromyces_islandicus
502,Thermomyces_lanuginosus
503,Elaphomyces_granulatus
504,Blastomyces_dermatitidis
505,Blastomyces_dermatitidis
506,Blastomyces_percursus
507,Emmonsia_parva
508,Histoplasma_capsulatum
509,Emergomyces_pasteurianus
510,Emmonsia_crescens
511,Paracoccidioides_brasiliensis
512,Paracoccidioides_brasiliensis
513,Paracoccidioides_lutzii
514,Helicocarpus_griseus
515,Polytolypa_hystricis
516,Trichophyton_equinum
517,Trichophyton_tonsurans
518,Trichophyton_mentagrophytes
519,Trichophyton_interdigitale
520,Trichophyton_verrucosum
521,Arthroderma_benhamiae
522,Trichophyton_soudanense
523,Trichophyton_rubrum
524,Trichophyton_violaceum
525,Nannizzia_gypsea
526,Microsporum_canis
527,Coccidioides_posadasii
528,Coccidioides_posadasii
529,Coccidioides_immitis
530,Uncinocarpus_reesii
531,Xylona_heveae
532,Clavariopsis_aquatica
533,Pleomassaria_siparia
534,Melanomma_pulvis-pyrius
535,Maseb1
536,Byssothecium_circinans
537,Perma1
538,Paraconiothyrium_sporulosum
539,Karstenula_rhodostoma
540,Bimnz1
541,Lentithecium_fluviatile
542,Trematosphaeria_pertusa
543,Alternaria_alternata
544,Alternaria_alternata
545,Alternaria_brassicicola
546,Alternaria_rosae
547,Cochliobolus_carbonum
548,Cochliobolus_victoriae
549,Cochliobolus_miyabeanus
550,Cochliobolus_heterostrophus
551,Cochliobolus_sativus
552,Cochliobolus_lunatus
553,Setosphaeria_turcica
554,Stemphylium_lycopersici
555,Pyrenophora_tritici-repentis
556,Pyrenophora_teres
557,Decga1
558,Clathrospora_elynae
559,Leptosphaeria_maculans
560,Phoma_tracheiphila
561,Pyrenochaeta_sp.
562,Pyrenochaeta_lycopersici
563,Cucurbitaria_berberidis
564,Ophiobolus_disseminans
565,Stagonospora_sp.
566,Phaeosphaeria_poagena
567,Ampelomyces_quisqualis
568,Stagonospora_nodorum
569,Setho1
570,Paraphoma_chrysanthemicola
571,Paraphoma_chrysanthemicola
572,Didymella_zeae-maydis
573,Didymella_exigua
574,Boeremia_exigua
575,Macroventuria_anomochaeta
576,Lizem1
577,Ascochyta_rabiei
578,Dothidotthia_symphoricarpi
579,Corynespora_cassiicola
580,Lophiostoma_macrostomum
581,Westerdykella_ornata
582,Sporormia_fimetaria
583,Dendryphion_nanum
584,Aaosphaeria_arxii
585,Lophiotrema_nucula
586,Polyplosphaeria_fusca
587,Verruculina_enalia
588,Amniculicola_lignicola
589,Clohesyomyces_aquaticus
590,Linin1
591,Zopfia_rhizophila
592,Delitschia_confertaspora
593,Rhytidhysteron_rufulum
594,Hysterium_pulicare
595,Lepidopterella_palustris
596,Mytre1
597,Lophium_mytilinum
598,Glonium_stellatum
599,Cenococcum_geophilum
600,Pseudovirgaria_hyperparasitica
601,Phyllosticta_sp.
602,Phyllosticta_paracitricarpa
603,Phyllosticta_citricarpa
604,Phyllosticta_citriasiana
605,Phyllosticta_citrichinaensis
606,Phyllosticta_citrichinaensis
607,Phyllosticta_citribraziliensis
608,Phyllosticta_capitalensis
609,Macrophomina_phaseolina
610,Macrophomina_phaseolina
611,Botryosphaeria_dothidea
612,Diplodia_seriata
613,Neofusicoccum_parvum
614,Aplosporella_prunicola
615,Saccharata_proteae
616,Coniosporium_apollinis
617,Patellaria_atrata
618,Tothia_fuscella
619,Venturia_effusa
620,Venturia_pirina
621,Venturia_inaequalis
622,Verruconis_gallopava
623,Tribi1
624,Micmi1
625,Erebi1
626,Rhili1
627,Aulographum_hederae
628,Lineolata_rhizophorae
629,Septoria_populicola
630,Septoria_musiva
631,Cercospora_berteroae
