,tips
1000,Laetiporus_sulphureus
1001,Fibroporia_radiculosa
1002,Wolfiporia_cocos
1003,Postia_placenta
1004,Postia_placenta
1005,Amylocystis_lapponica
1006,Obba_rivulosa
1007,Gelatoporia
1008,Pycnoporus_coccineus
1009,Pycnoporus_sanguineus
1010,Pycnoporus_cinnabarinus
1011,Pycnoporus_puniceus
1012,Leiotrametes_lactinea
1013,Leiotrametes_menziesii
1014,Leisp1
1015,Traci1
1016,Trametes_ljubarskyi
1017,Trametes_pubescens
1018,Trametes_versicolor
1019,Trametes_betulina
1020,Trametes_gibbosa
1021,Trametes_polyzona
1022,Trametes_meyenii
1023,Trametes_maxima
1024,Artolenzites_elegans
1025,Polbr1
1026,Polyporus_arcularius
1027,Polyporus_squamosus
1028,Lentinus_tigrinus
1029,Lentinus_tigrinus
1030,Hexagonia_nitida
1031,Fomes_fomentarius
1032,Earliella_scabrosa
1033,Ganoderma_lucidum
1034,Ganoderma_sp.
1035,Ganoderma_boninense
1036,Ganoderma_sinense
1037,Ganoderma_leucocontextum
1038,Dichomitus_squalens
1039,Dichomitus_squalens
1040,Dichomitus_squalens
1041,Dichomitus_squalens
1042,Epithele_typhae
1043,Thega1
1044,Thelephora_terrestris
1045,Russula_rugulosa
1046,Russula_emetica
1047,Russula_ochroleuca
1048,Russula_vinacea
1049,Russula_earlei
1050,Russula_dissimulans
1051,Russula_compacta
1052,Russula_brevipes
1053,Lactifluus_cf.
1054,Lactifluus_cf.
1055,Multifurca_ochricompacta
1056,Lactarius_hengduanensis
1057,Lactarius_pseudohatsudake
1058,Lactarius_hatsudake
1059,Lactarius_deliciosus
1060,Lactarius_akahatsu
1061,Lactarius_sanguifluus
1062,Lactarius_vividus
1063,Lactarius_indigo
1064,Lactarius_psammicola
1065,Lacqui1
1066,Gloeopeniophorella_convolvens
1067,Artomyces_pyxidatus
1068,Auriscalpium_vulgare
1069,Peniophora_sp.
1070,Vararia_minispora
1071,Amylostereum_chailletii
1072,Densp1
1073,Heterobasidion_annosum
1074,Stereum_hirsutum
1075,Neolentinus_lepideus
1076,Helsul1
1077,Gloeophyllum_trabeum
1078,Jaapia_argillacea
1079,Punctularia_strigosozonata
1080,Sistotremastrum_niveocremeum
1081,Sistotremastrum_suecicum
1082,Hysterangium_stoloniferum
1083,Ramaria_rubella
1084,Gautieria_morchelliformis
1085,Sphaerobolus_stellatus
1086,Auricularia_subglabra
1087,Exidia_glandulosa
1088,Oliveonia_pauxilla
1089,Piriformospora_indica
1090,Sebacina_vermifera
1091,Botryobasidium_botryosum
1092,Cantharellus_anzutake
1093,Sistotrema_sp.
1094,Hydru2
1095,Tulasnella_calospora
1096,Rhizoctonia_solani
1097,Rhizoctonia_solani
1098,Rhizoctonia_solani
1099,Thanatephorus_cucumeris
1100,CerAGI
1101,Calocera_cornea
1102,Calocera_viscosa
1103,Dacryopinax_primogenitus
1104,Kockovaella_imperatae
1105,Naematelia_encephela
1106,Tremella_mesenterica
1107,Diohu1
1108,Cryptococcus_gattii
1109,Cryptococcus_gattii
1110,Cryptococcus_gattii
1111,Cryptococcus_gattii
1112,Cryptococcus_neoformans
1113,Cryptococcus_neoformans
1114,Cryptococcus_amylolentus
1115,Cryptococcus_wingfieldii
1116,Trichosporon_asahii
1117,Trichosporon_asahii
1118,Trichosporon_oleaginosus
1119,Crycu1
1120,Naganishia_vishniacii
1121,Filobasidium_floriforme
1122,Cryte1
1123,Wallemia_mellicola
1124,Wallemia_ichthyophaga
1125,Tescy1
1126,Pseudozyma_hubeiensis
1127,Ustilago_maydis
1128,Sporisorium_reilianum
1129,Kalmanozyma_brasiliensis
1130,Ustilago_bromivora
1131,Ustilago_hordei
1132,Moesziomyces_antarcticus
1133,Pseudozyma_antarctica
1134,Moesziomyces_aphidis
1135,Pseudozyma_flocculosa
1136,Ustsp1
1137,Acain1
1138,Meimi1
1139,Cersp1
1140,Ceraceosorus_bombacis
1141,Tilwa1
1142,Jamsp1
1143,Rhodsp1
1144,Tilletia_walkeri
1145,Tilletia_indica
1146,Tilletia_controversa
1147,Tilletia_caries
1148,Tilletiaria_anomala
1149,Malassezia_sympodialis
1150,Malassezia_globosa
1151,Malassezia_pachydermatis
1152,Malassezia_vespertilionis
1153,Puccinia_graminis
1154,Puccinia_graminis
1155,Puccinia_graminis
1156,Puccinia_graminis
1157,Puccinia_graminis
1158,Puccinia_triticina
1159,Puccinia_coronata
1160,Puccinia_coronata
1161,Puccinia_striiformis
1162,Puccinia_striiformis
1163,Puccinia_striiformis
1164,Phakopsora_pachyrhizi
1165,Phakopsora_pachyrhizi
1166,Phakopsora_pachyrhizi
1167,Melampsora_americana
1168,Melampsora_lini
1169,Melampsora_larici-populina
1170,Cronartium_quercuum
1171,Microbotryum_lychnidis-dioicae
1172,Microbotryum_intermedium
1173,Leucosporidiella_creatinivora
1174,Rhodosporidium_toruloides
1175,Rhodosporidium_toruloides
1176,Rhodosporidium_glutinis
1177,Rhodosporidium_toruloides
1178,Rhodosporidium_toruloides
1179,Rhodotorula_sp.
1180,Rhodotorula_sp.
1181,Rhodotorula_taiwanensis
1182,Rhodotorula_graminis
1183,Mixia_osmundae
1184,Cystobasidium_minutum
1185,Olpidium_bornovanus
1186,Entomortierella_chlamydospora
1187,Entomortierella_chlamydospora
1188,Mortierella_sp.
1189,Mortierella_sp.
1190,Mortierella_sp.
1191,Haplosporangium_sp.
1192,Entomortierella_lignicola
1193,Mortierella_sp.
1194,Entomortierella_beljakovae
1195,Lobosporangium_transversale
1196,Lobosporangium_transversale
1197,Mortierella_claussenii
1198,Mortierella_sp.
1199,Mortierella_sp.
1200,Mortierella_sp.
1201,Modicella_reniformis
1202,Mortierella_multidivaricata
1203,Gamsiella_multidivaricata
1204,Mortierella_globulifera
1205,Mortierella_globulifera
1206,Dissophora_ornata
1207,Dissophora_ornata
1208,Mortierella_alpina
1209,Mortierella_antarctica
1210,Mortierella_alpina
1211,Mortierella_alpina
1212,Mortierella_alpina
1213,Mortierella_alpina
1214,Mortierella_sp.
1215,Haplosporangium_sp.
1216,Haplosporangium_sp.
1217,Mortierella_polycephala
1218,Mortierella_sp.
1219,Mortierella_hygrophila
1220,Linnemannia_camargensis
1221,Linnemannia_schmuckeri
1222,Linnemannia_elongata
1223,Linnemannia_elongata
1224,Linnemannia_elongata
1225,Linnemannia_elongata
1226,Mortierella_elongata
1227,Mortierella_elongata
1228,Mortierella_elongata
1229,Linnemannia_gamsii
1230,Linnemannia_gamsii
1231,Linnemannia_exigua
1232,Mortierella_sp.
1233,Mortierella_sp.
1234,Linnemannia_zychae
1235,Mortierella_sp.
1236,Mortierella_sp.
1237,Mortierella_sp.
1238,Linnemannia_zychae
1239,Podila_minutissima
1240,Podila_minutissima
1241,Mortierella_sp.
1242,Podila_epicladia
1243,Podila_epicladia
1244,Podila_horticola
1245,Podila_horticola
1246,Podila_clonocystis
1247,Podila_clonocystis
1248,Haplosporangium_bisporale
1249,Podila_verticillata
1250,Podila_verticillata
1251,Morhum1
1252,Podila_verticillata
1253,Podila_humilis
1254,Podila_epigama
1255,Gryganskiella_cystojenkinii
1256,Actinomortierella_ambigua
1257,Actinomortierella_ambigua
1258,Actinomortierella_wolfii
1259,Rhiir2_1
1260,RhiirB3
1261,Rhizophagus_irregularis
1262,RhiirA1_1
1263,Rhizophagus_irregularis
1264,RhiirC2
1265,Rhizophagus_irregularis
1266,Rhizophagus_diaphanus
1267,Rhizophagus_clarus
1268,Rhizophagus_cerebriforme
1269,Gigaspora_margarita
1270,Gigaspora_rosea
1271,Geosiphon_pyriformis
1272,Mucor_circinelloides
1273,Mucor_ambiguus
1274,Mucor_lusitanicus
1275,Mucor_racemosus
1276,Parasitella_parasitica
1277,Mucor_fuscus
1278,Mucor_lanceolatus
1279,Helicostylum_pulchrum
1280,Thamnidium_elegans
1281,Pilaira_anomala
1282,Mucor_mucedo
1283,Mucor_endophyticus
1284,Choanephora_cucurbitarum
1285,Blakeslea_trispora
1286,Gilbertella_persicaria
1287,Benjaminiella_poitrasii
1288,Cokeromyces_recurvatus
1289,Mycotypha_africana
1290,Amylomyces_rouxii
1291,Rhizopus_delemar
1292,Sporodiniella_umbellata
1293,Rhizopus_microsporus
1294,Rhizopus_microsporus
1295,Rhizopus_microsporus
1296,Pilobolus_umbonatus
1297,Backusella_circina
1298,Absidia_repens
1299,Absidia_padenii
1300,Halteromyces_radiatus
1301,Cunninghamella_echinulata
1302,Gongronella_butleri
1303,Hesseltinella_vesiculosa
1304,Phycomyces_blakesleeanus
1305,Phycomyces_nitens
1306,Spinellus_fusiger
1307,Saksenaea_vasiformis
1308,Radiomyces_spectabilis
1309,Syncephalastrum_racemosum
1310,Phascolomyces_articulosus
1311,Circinella_umbellata
1312,Zychaea_mexicana
1313,Fennellomyces_sp.
1314,Lichtheimia_hyalospora
1315,Lichtheimia_ramosa
1316,Lichtheimia_corymbifera
1317,Dichotomocladium_elegans
1318,Umbra1
1319,Umbelopsis_sp.
1320,Bifiguratus_adelaidae
1321,Jimgerdemannia_flammicorona
1322,Jimgerdemannia_flammicorona
1323,Jimgerdemannia_lactiflua
1324,Endogone_sp
1325,Coemansia_reversa
1326,Coemansia_mojavensis
1327,Coemansia_spiralis
1328,Kickxella_alabastrina
1329,Martensiomyces_pterosporus
1330,Linderina_pennispora
1331,Pinnaticoemansia_coranantispora
1332,Smittium_culicis
1333,Smittium_culicis
1334,Smittium_mucronatum
1335,Zancudomyces_culisetae
1336,Ramicandelaber_brevisporus
1337,Dimargaris_cristalligena
1338,Conidiobolus_thromboides
1339,Zoophthora_radicans
1340,Conidiobolus_coronatus
1341,Syncephalis_plumigaleata
1342,Synps1
1343,Syncephalis_fuscata
1344,Thasp1
1345,Piptocephalis_tieghemiana
1346,Piptocephalis_cylindrospora
1347,Basidiobolus_meristosporus
1348,Paraphysoderma_sedebokerense
1349,Blastocladiella_britannica
1350,Catenaria_anguillulae
1351,Allomyces_macrogynus
1352,Pecoramyces_sp.
1353,Piromyces_finnis
1354,Piromyces_sp.
1355,Caecomyces_churrovis
1356,Anaeromyces_robustus
1357,Neocallimastix_californiae
1358,Neocallimastix_lanati
1359,Orpinomyces_sp.
1360,Gonapodya_prolifera
1361,Hyaloraphidium_curvatum
1362,Geranomyces_variabilis
1363,Powellomyces_hirtus
1364,Fimicolochytrium_jonesii
1365,Spizellomyces_punctatus
1366,Triparticalcar_arcticum
1367,Gaertneriomyces_semiglobifer
1368,Blyttiomyces_helicus
1369,Globomyces_pollinis-pini
1370,Gorgonomyces_haynaldii
1371,Homolaphlyctis_polyrhiza
1372,Batrachochytrium_salamandrivorans
1373,Entophlyctis_helioformis
1374,Cladochytrium_polystomum
1375,Rhihy1
1376,Obelidium_mucronatum
1377,Chytriomyces_hyalinus
1378,Chytriomyces_sp.
1379,Chytridium_lagenaria
1380,Polychytrium_aggregatum
1381,Cladochytrium_replicatum
1382,Caulochytrium_protostelioides
1383,Caulochytrium_protostelioides
1384,Encephalitozoon_romaleae
1385,Encephalitozoon_hellem
1386,Encephalitozoon_intestinalis
1387,Encephalitozoon_cuniculi
1388,Ordospora_colligata
1389,MicG_I_3
1390,Nosema_apis
1391,Nosema_ceranae
1392,Nosema_bombycis
1393,Enterocytozoon_bieneusi
1394,Enterospora_canceri
1395,Enterocytozoon_hepatopenaei
1396,Hepatospora_eriocheir
1397,Vittaforma_corneae
1398,Antonospora_locustae
1399,Trachipleistophora_hominis
1400,Vavraia_culicis
1401,Pseudoloma_neurophilia
1402,Spraguea_lophii
1403,Edhazardia_aedis
1404,Nematocida_parisii
1405,Nematocida_displodere
1406,Amphiamblys_sp.
1407,Mitosporidium_daphniae
1408,Paramicrosporidium_saccamoebae
1409,Rozella_allomycis
1410,Rozella_allomycis
