old_taxonID_linked_genome_sequence,species,genus,family,order,class,phylum
Encephalitozoon_romaleae,Encephalitozoon romaleae,Encephalitozoon,Unikaryonidae,Unikaryonidae_or,Unikaryonidae_cl,Microsporidia
Trachipleistophora_hominis,Trachipleistophora hominis,Trachipleistophora,Pleistophoridae,Pleistophoridae_or,Pleistophoridae_cl,Microsporidia
Nosema_apis,Nosema apis,Nosema,Nosematidae,Nosematidae_or,Nosematidae_cl,Microsporidia
Spraguea_lophii,Spraguea lophii,Spraguea,Spraguidae,Spraguidae_or,Spraguidae_cl,Microsporidia
Enterospora_canceri,Enterospora canceri,Enterospora,Enterocytozoonidae,Enterocytozoonidae_or,Enterocytozoonidae_cl,Microsporidia
Metchnikovella_incurvata,Metchnikovella incurvata,Metchnikovella,Metchnikovellidae,Metchnikovellidae_or,Metchnikovellidae_cl,Microsporidia
Tubulinosema_ratisbonensis,Tubulinosema ratisbonensis,Tubulinosema,Tubulinosematidae,Tubulinosematidae_or,Tubulinosematidae_cl,Microsporidia
Ordospora_colligata,Ordospora colligata,Ordospora,Ordosporidae,Ordosporidae_or,Ordosporidae_cl,Microsporidia
Hamiltosporidium_magnivora,Hamiltosporidium magnivora,Hamiltosporidium,Dubosqiidae,Dubosqiidae_or,Dubosqiidae_cl,Microsporidia
Hamiltosporidium_tvaerminnensis,Hamiltosporidium tvaerminnensis,Hamiltosporidium,Dubosqiidae,Dubosqiidae_or,Dubosqiidae_cl,Microsporidia
Nosema_ceranae,Nosema ceranae,Nosema,Nosematidae,Nosematidae_or,Nosematidae_cl,Microsporidia
Symmetrospora_coprosmae,Symmetrospora coprosmae,Symmetrospora,Symmetrosporaceae,Symmetrosporaceae_or,Cystobasidiomycetes,Basidiomycota
Pseudogymnoascus_verrucosus,Pseudogymnoascus verrucosus,Pseudogymnoascus,Pseudeurotiaceae,Thelebolales,Leotiomycetes,Ascomycota
Cenococcum_geophilum,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Dothideomycetes,Ascomycota
Glonium_stellatum,Glonium stellatum,Glonium,Gloniaceae,Mytilinidiales,Dothideomycetes,Ascomycota
Oidiodendron_maius,Oidiodendron maius,Oidiodendron,Myxotrichaceae,Helotiales,Leotiomycetes,Ascomycota
Pseudogymnoascus_destructans,Pseudogymnoascus destructans,Pseudogymnoascus,Pseudeurotiaceae,Thelebolales,Leotiomycetes,Ascomycota
Pseudogymnoascus_pannorum,Pseudogymnoascus pannorum,Pseudogymnoascus,Pseudeurotiaceae,Thelebolales,Leotiomycetes,Ascomycota
Aciculoconidium_aculeatum,Aciculoconidium aculeatum,Aciculoconidium,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Aciculosporium_take,Aciculosporium take,Aciculosporium,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Acidomyces_richmondensis,Acidomyces richmondensis,Acidomyces,Teratosphaeriaceae,Capnodiales,Dothideomycetes,Ascomycota
Acremonium_chrysogenum,Acremonium chrysogenum,Acremonium,Bionectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Acremonium_furcatum,Acremonium furcatum,Acremonium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Albophoma_yamanashiensis,Albophoma yamanashiensis,Albophoma,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Alloascoidea_hylecoeti,Alloascoidea hylecoeti,Alloascoidea,Alloascoideaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Alternaria_alternata,Alternaria alternata,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Alternaria_arborescens,Alternaria arborescens,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Alternaria_brassicicola,Alternaria brassicicola,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Alternaria_consortialis,Alternaria consortialis,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Alternaria_solani,Alternaria solani,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Amauroascus_mutatus,Amauroascus mutatus,Amauroascus,Onygenaceae,Onygenales,Eurotiomycetes,Ascomycota
Amauroascus_niger,Amauroascus niger,Amauroascus,Onygenaceae,Onygenales,Eurotiomycetes,Ascomycota
Ambrosiella_xylebori,Ambrosiella xylebori,Ambrosiella,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Ambrosiozyma_ambrosiae,Ambrosiozyma ambrosiae,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ambrosiozyma_kashinagacola,Ambrosiozyma kashinagacola,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ambrosiozyma_maleeae,Ambrosiozyma maleeae,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ambrosiozyma_monospora,Ambrosiozyma monospora,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ambrosiozyma_oregonensis,Ambrosiozyma oregonensis,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ambrosiozyma_philentoma,Ambrosiozyma philentoma,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ambrosiozyma_pseudovanderkliftii,Ambrosiozyma pseudovanderkliftii,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Ambrosiozyma_vanderkliftii,Ambrosiozyma vanderkliftii,Ambrosiozyma,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Amorphotheca_resinae,Amorphotheca resinae,Amorphotheca,Myxotrichaceae,Helotiales,Leotiomycetes,Ascomycota
Annulohypoxylon_stygium,Annulohypoxylon stygium,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Aquanectria_penicillioides,Aquanectria penicillioides,Aquanectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Arthonia_radiata,Arthonia radiata,Arthonia,Arthoniaceae,Arthoniales,Arthoniomycetes,Ascomycota
Arthrobotrys_oligospora,Arthrobotrys oligospora,Arthrobotrys,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota
Articulospora_tetracladia,Articulospora tetracladia,Articulospora,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Ascochyta_rabiei,Ascochyta rabiei,Ascochyta,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycota
Ascocoryne_sarcoides,Ascocoryne sarcoides,Ascocoryne,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Ascoidea_asiatica,Ascoidea asiatica,Ascoidea,CUG-Ser2,Saccharomycetales,Saccharomycetes,Ascomycota
Ascoidea_rubescens,Ascoidea rubescens,Ascoidea,CUG-Ser2,Saccharomycetales,Saccharomycetes,Ascomycota
Ascosphaera_apis,Ascosphaera apis,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Ascomycota
Ashbya_aceri,Ashbya aceri,Ashbya,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Aspergillus_aculeatinus,Aspergillus aculeatinus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_aculeatus,Aspergillus aculeatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_arachidicola,Aspergillus arachidicola,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_awamori,Aspergillus awamori,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_bombycis,Aspergillus bombycis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_brasiliensis,Aspergillus brasiliensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_brunneoviolaceus,Aspergillus brunneoviolaceus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_calidoustus,Aspergillus calidoustus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_campestris,Aspergillus campestris,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_candidus,Aspergillus candidus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_carbonarius,Aspergillus carbonarius,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_chevalieri,Aspergillus chevalieri,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_clavatus,Aspergillus clavatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_costaricaensis,Aspergillus costaricaensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_cristatus,Aspergillus cristatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_ellipticus,Aspergillus ellipticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_eucalypticola,Aspergillus eucalypticola,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_fijiensis,Aspergillus fijiensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_fischeri,Aspergillus fischeri,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_flavus,Aspergillus flavus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_fumigatus,Aspergillus fumigatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_glaucus,Aspergillus glaucus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_hancockii,Aspergillus hancockii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_heteromorphus,Aspergillus heteromorphus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_homomorphus,Aspergillus homomorphus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_ibericus,Aspergillus ibericus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_indologenus,Aspergillus indologenus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_japonicus,Aspergillus japonicus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_kawachii,Aspergillus kawachii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_lacticoffeatus,Aspergillus lacticoffeatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_lentulus,Aspergillus lentulus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_luchuensis,Aspergillus luchuensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_mulundensis,Aspergillus mulundensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_neoellipticus,Aspergillus neoellipticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_neoniger,Aspergillus neoniger,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_nidulans,Aspergillus nidulans,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_niger,Aspergillus niger,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_nomius,Aspergillus nomius,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_novofumigatus,Aspergillus novofumigatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_ochraceoroseus,Aspergillus ochraceoroseus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_oryzae,Aspergillus oryzae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_parasiticus,Aspergillus parasiticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_persii,Aspergillus persii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_phoenicis,Aspergillus phoenicis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_piperis,Aspergillus piperis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_pseudoterreus,Aspergillus pseudoterreus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_rambellii,Aspergillus rambellii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_ruber,Aspergillus ruber,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_saccharolyticus,Aspergillus saccharolyticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_sclerotiicarbonarius,Aspergillus sclerotiicarbonarius,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_sclerotioniger,Aspergillus sclerotioniger,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_sclerotiorum,Aspergillus sclerotiorum,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_sojae,Aspergillus sojae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_steynii,Aspergillus steynii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_sydowii,Aspergillus sydowii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_taichungensis,Aspergillus taichungensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_tanneri,Aspergillus tanneri,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_terreus,Aspergillus terreus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_tubingensis,Aspergillus tubingensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_turcosus,Aspergillus turcosus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_udagawae,Aspergillus udagawae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_ustus,Aspergillus ustus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_uvarum,Aspergillus uvarum,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_vadensis,Aspergillus vadensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_versicolor,Aspergillus versicolor,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_violaceofuscus,Aspergillus violaceofuscus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_welwitschiae,Aspergillus welwitschiae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_wentii,Aspergillus wentii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aspergillus_westerdijkiae,Aspergillus westerdijkiae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Atkinsonella_hypoxylon,Atkinsonella hypoxylon,Atkinsonella,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Atkinsonella_texensis,Atkinsonella texensis,Atkinsonella,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Aureobasidium_melanogenum,Aureobasidium melanogenum,Aureobasidium,Saccotheciaceae,Dothideales,Dothideomycetes,Ascomycota
Aureobasidium_namibiae,Aureobasidium namibiae,Aureobasidium,Saccotheciaceae,Dothideales,Dothideomycetes,Ascomycota
Aureobasidium_pullulans,Aureobasidium pullulans,Aureobasidium,Saccotheciaceae,Dothideales,Dothideomycetes,Ascomycota
Aureobasidium_subglaciale,Aureobasidium subglaciale,Aureobasidium,Saccotheciaceae,Dothideales,Dothideomycetes,Ascomycota
Babjeviella_inositovora,Babjeviella inositovora,Babjeviella,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Balansia_obtecta,Balansia obtecta,Balansia,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Barnettozyma_californica,Barnettozyma californica,Barnettozyma,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Barnettozyma_hawaiiensis,Barnettozyma hawaiiensis,Barnettozyma,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Barnettozyma_populi,Barnettozyma populi,Barnettozyma,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Barnettozyma_pratensis,Barnettozyma pratensis,Barnettozyma,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Barnettozyma_salicaria,Barnettozyma salicaria,Barnettozyma,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Baudoinia_panamericana,Baudoinia panamericana,Baudoinia,Teratosphaeriaceae,Capnodiales,Dothideomycetes,Ascomycota
Beauveria_bassiana,Beauveria bassiana,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Beauveria_pseudobassiana,Beauveria pseudobassiana,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Beauveria_rudraprayagi,Beauveria rudraprayagi,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota
Beverwykella_pulmonaria,Beverwykella pulmonaria,Beverwykella,Melanommataceae,Pleosporales,Dothideomycetes,Ascomycota
Bipolaris_cookei,Bipolaris cookei,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Bipolaris_maydis,Bipolaris maydis,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Bipolaris_oryzae,Bipolaris oryzae,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Bipolaris_sorokiniana,Bipolaris sorokiniana,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Bipolaris_victoriae,Bipolaris victoriae,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Bipolaris_zeicola,Bipolaris zeicola,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota
Blastobotrys_adeninivorans,Blastobotrys adeninivorans,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_americana,Blastobotrys americana,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_mokoenaii,Blastobotrys mokoenaii,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_muscicola,Blastobotrys muscicola,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_nivea,Blastobotrys nivea,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_peoriensis,Blastobotrys peoriensis,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_proliferans,Blastobotrys proliferans,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_raffinosifermentans,Blastobotrys raffinosifermentans,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastobotrys_serpentis,Blastobotrys serpentis,Blastobotrys,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Blastomyces_dermatitidis,Blastomyces dermatitidis,Blastomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota
Blastomyces_gilchristii,Blastomyces gilchristii,Blastomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota
Blastomyces_parvus,Blastomyces parvus,Blastomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota
Blastomyces_percursus,Blastomyces percursus,Blastomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota
Blumeria_graminis,Blumeria graminis,Blumeria,Erysiphaceae,Erysiphales,Leotiomycetes,Ascomycota
Botryosphaeria_dothidea,Botryosphaeria dothidea,Botryosphaeria,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycota
Botryozyma_nematodophila,Botryozyma nematodophila,Botryozyma,Trigonopsidaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Botrytis_cinerea,Botrytis cinerea,Botrytis,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota
Botrytis_paeoniae,Botrytis paeoniae,Botrytis,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota
Brettanomyces_anomalus,Brettanomyces anomalus,Brettanomyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Brettanomyces_bruxellensis,Brettanomyces bruxellensis,Brettanomyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Brettanomyces_custersianus,Brettanomyces custersianus,Brettanomyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Bretziella_fagacearum,Bretziella fagacearum,Bretziella,Ceratocystidaceae,Microascales,Sordariomycetes,Ascomycota
Byssochlamys_nivea,Byssochlamys nivea,Byssochlamys,Thermoascaceae,Eurotiales,Eurotiomycetes,Ascomycota
Byssochlamys_spectabilis,Byssochlamys spectabilis,Byssochlamys,Thermoascaceae,Eurotiales,Eurotiomycetes,Ascomycota
Byssoonygena_ceratinophila,Byssoonygena ceratinophila,Byssoonygena,Onygenaceae,Onygenales,Eurotiomycetes,Ascomycota
Cadophora_malorum,Cadophora malorum,Cadophora,Ploettnerulaceae,Helotiales,Leotiomycetes,Ascomycota
Cairneyella_variabilis,Cairneyella variabilis,Cairneyella,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Calonectria_leucothoes,Calonectria leucothoes,Calonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Calonectria_naviculata,Calonectria naviculata,Calonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Calonectria_pseudonaviculata,Calonectria pseudonaviculata,Calonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Calonectria_pseudoreteaudii,Calonectria pseudoreteaudii,Calonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Calycina_herbarum,Calycina herbarum,Calycina,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Candida_albicans,Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_arabinofermentans,Candida arabinofermentans,Candida,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_ascalaphidarum,Candida ascalaphidarum,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_athensensis,Candida athensensis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_auris,Candida auris,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_blattae,Candida blattae,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_boidinii,Candida boidinii,Candida,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_bracarensis,Candida bracarensis,Candida,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_carpophila,Candida carpophila,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_castellii,Candida castellii,Candida,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_corydali,Candida corydali,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_dubliniensis,Candida dubliniensis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_fragi,Candida fragi,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_freyschussii,Candida freyschussii,Candida,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_fructus,Candida fructus,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_glabrata,Candida glabrata,Candida,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_golubevii,Candida golubevii,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_gorgasii,Candida gorgasii,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_gotoi,Candida gotoi,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_hawaiiana,Candida hawaiiana,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_heveicola,Candida heveicola,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_hispaniensis,Candida hispaniensis,Candida,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_incommunis,Candida incommunis,Candida,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_intermedia,Candida intermedia,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_montana,Candida montana,Candida,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_mycetangii,Candida mycetangii,Candida,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_nivariensis,Candida nivariensis,Candida,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_orba,Candida orba,Candida,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_oregonensis,Candida oregonensis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_orthopsilosis,Candida orthopsilosis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_parapsilosis,Candida parapsilosis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_ponderosae,Candida ponderosae,Candida,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_restingae,Candida restingae,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_rhagii,Candida rhagii,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_schatavii,Candida schatavii,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_sojae,Candida sojae,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_sorboxylosa,Candida sorboxylosa,Candida,Pichiaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida_stellimalicola,Candida stellimalicola,Candida,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
