Aspergillaceae_family_correct_naming.nwk , compared with JGI, 0.6676587 tips kept:  11 
Aspergillaceae_family_correct_naming.nwk , compared with Li et al. 2021, 0.481164 tips kept:  18 
Russulaceae_family_correct_naming.nwk , compared with JGI, 0.6388889 tips kept:  6 
Russulaceae_family_correct_naming.nwk , compared with Li et al. 2021, 0.6388889 tips kept:  6 
Aspergillaceae_family_correct_naming.nwk , compared with JGI, 0.6676587 ,tips kept:  11 
Aspergillaceae_family_correct_naming.nwk , compared with Li et al. 2021, 0.481164 ,tips kept:  18 
