Sample #,GOLD.ID,NumGenes,portal,JGI SampleName,Bhatnagar Lab SampleName,Year,Season,Treatment,Plot,Quad,Horizon
46,Ga0599175,,,CCASE.MG.2022.28,CCASE.MG.2022.PG.2.34.OH,2022,PG (July),Ref,2,3+4,OH
47,Ga0599176,,,CCASE.MG.2022.29,CCASE.MG.2022.PG.3.12.OH,2022,PG (July),Warmed,3,1+2,OH
48,Ga0599177,,,CCASE.MG.2022.30,CCASE.MG.2022.PG.3.34.OH,2022,PG (July),Warmed,3,3+4,OH
49,Ga0599178,,,CCASE.MG.2022.31,CCASE.MG.2022.PG.4.12.OH,2022,PG (July),Warmed,4,1+2,OH
50,Ga0599179,,,CCASE.MG.2022.32,CCASE.MG.2022.PG.4.34.OH,2022,PG (July),Warmed,4,3+4,OH
51,Ga0599180,,,CCASE.MG.2022.33,CCASE.MG.2022.PG.5.12.OH,2022,PG (July),WFT,5,1+2,OH
52,Ga0599181,,,CCASE.MG.2022.34,CCASE.MG.2022.PG.5.34.OH,2022,PG (July),WFT,5,3+4,OH
53,Ga0599182,,,CCASE.MG.2022.35,CCASE.MG.2022.PG.6.12.OH,2022,PG (July),WFT,6,1+2,OH
54,Ga0599183,,,CCASE.MG.2022.36,CCASE.MG.2022.PG.6.34.OH,2022,PG (July),WFT,6,3+4,OH
55,Ga0599184,,,CCASE.MG.2022.37,CCASE.MG.2022.PG.1.12.AH,2022,PG (July),Ref,1,1+2,AH
56,Ga0599185,,,CCASE.MG.2022.38,CCASE.MG.2022.PG.1.34.AH,2022,PG (July),Ref,1,3+4,AH
57,Ga0599186,,,CCASE.MG.2022.39,CCASE.MG.2022.PG.2.12.AH,2022,PG (July),Ref,2,1+2,AH
58,Ga0599187,,,CCASE.MG.2022.40,CCASE.MG.2022.PG.2.34.AH,2022,PG (July),Ref,2,3+4,AH
59,Ga0599188,,,CCASE.MG.2022.41,CCASE.MG.2022.PG.3.12.AH,2022,PG (July),Warmed,3,1+2,AH
60,Ga0599189,,,CCASE.MG.2022.42,CCASE.MG.2022.PG.3.34.AH,2022,PG (July),Warmed,3,3+4,AH
61,Ga0599190,,,CCASE.MG.2022.43,CCASE.MG.2022.PG.4.12.AH,2022,PG (July),Warmed,4,1+2,AH
62,Ga0599191,,,CCASE.MG.2022.44,CCASE.MG.2022.PG.4.34.AH,2022,PG (July),Warmed,4,3+4,AH
63,Ga0599192,,,CCASE.MG.2022.45,CCASE.MG.2022.PG.5.12.AH,2022,PG (July),WFT,5,1+2,AH
64,Ga0599193,,,CCASE.MG.2022.46,CCASE.MG.2022.PG.5.34.AH,2022,PG (July),WFT,5,3+4,AH
65,Ga0599194,,,CCASE.MG.2022.47,CCASE.MG.2022.PG.6.12.AH,2022,PG (July),WFT,6,1+2,AH
66,Ga0599195,,,CCASE.MG.2022.48,CCASE.MG.2022.PG.6.34.AH,2022,PG (July),WFT,6,3+4,AH
61,Ga0599190,,,CCASE.MG.2022.43,CCASE.MG.2022.PG.4.12.AH,2022,PG (July),Warmed,4,1+2,AH
62,Ga0599191,,,CCASE.MG.2022.44,CCASE.MG.2022.PG.4.34.AH,2022,PG (July),Warmed,4,3+4,AH
63,Ga0599192,,,CCASE.MG.2022.45,CCASE.MG.2022.PG.5.12.AH,2022,PG (July),WFT,5,1+2,AH
64,Ga0599193,,,CCASE.MG.2022.46,CCASE.MG.2022.PG.5.34.AH,2022,PG (July),WFT,5,3+4,AH
65,Ga0599194,,,CCASE.MG.2022.47,CCASE.MG.2022.PG.6.12.AH,2022,PG (July),WFT,6,1+2,AH
66,Ga0599195,,,CCASE.MG.2022.48,CCASE.MG.2022.PG.6.34.AH,2022,PG (July),WFT,6,3+4,AH
67,Ga0597529,,CCASEMG20181_2,CCASE.MG.2018.1,CCASE.MG.2018.PG.1.12.OH,2018,PG (July),Ref,1,1+2,OH
68,Ga0597530,,CCASEMG20182_2,CCASE.MG.2018.2,CCASE.MG.2018.PG.1.34.OH,2018,PG (July),Ref,1,3+4,OH
69,Ga0597531,,,CCASE.MG.2018.3,CCASE.MG.2018.PG.2.12.OH,2018,PG (July),Ref,2,1+2,OH
70,Ga0597532,,,CCASE.MG.2018.4,CCASE.MG.2018.PG.2.34.OH,2018,PG (July),Ref,2,3+4,OH
71,Ga0597533,,,CCASE.MG.2018.5,CCASE.MG.2018.PG.3.12.OH,2018,PG (July),Warmed,3,1+2,OH
72,Ga0597534,,,CCASE.MG.2018.6,CCASE.MG.2018.PG.3.34.OH,2018,PG (July),Warmed,3,3+4,OH
73,Ga0597535,,,CCASE.MG.2018.7,CCASE.MG.2018.PG.4.12.OH,2018,PG (July),Warmed,4,1+2,OH
74,Ga0597536,,,CCASE.MG.2018.8,CCASE.MG.2018.PG.4.34.OH,2018,PG (July),Warmed,4,3+4,OH
75,Ga0597537,,,CCASE.MG.2018.9,CCASE.MG.2018.PG.5.12.OH,2018,PG (July),WFT,5,1+2,OH
76,Ga0597538,,,CCASE.MG.2018.10,CCASE.MG.2018.PG.5.34.OH,2018,PG (July),WFT,5,3+4,OH
77,Ga0597539,,,CCASE.MG.2018.11,CCASE.MG.2018.PG.6.12.OH,2018,PG (July),WFT,6,1+2,OH
78,Ga0597540,,,CCASE.MG.2018.12,CCASE.MG.2018.PG.6.34.OH,2018,PG (July),WFT,6,3+4,OH
