OTU	5_12_14_Plot_1	5_12_14_Plot_2	5_12_14_Plot_3	5_12_14_Plot_4	5_12_14_Plot_5	5_12_14_Plot_6	5_21_14_Plot_1	5_21_14_Plot_2	5_21_14_Plot_4	5_21_14_Plot_5	5_21_14_Plot_6	6_1_14_Plot_1	6_1_14_Plot_2	6_1_14_Plot_3	6_1_14_Plot_4	6_1_14_Plot_6	7_22_14_Plot_1	7_22_14_Plot_2	7_22_14_Plot_3	7_22_14_Plot_4	7_22_14_Plot_5	7_22_14_Plot_6	9_24_14_Plot_1	9_24_14_Plot_2	9_24_14_Plot_3	9_24_14_Plot_4	9_24_14_Plot_5	9_24_14_Plot_6	Soil_1	Soil_10	Soil_100	Soil_101	Soil_102	Soil_107	Soil_108	Soil_109	Soil_11	Soil_110	Soil_111	Soil_112	Soil_114	Soil_115	Soil_116	Soil_119	Soil_119_2	Soil_12	Soil_121	Soil_122	Soil_123	Soil_124	Soil_125	Soil_126	Soil_127	Soil_128	Soil_129	Soil_13	Soil_130	Soil_134	Soil_135	Soil_136	Soil_137	Soil_138	Soil_139	Soil_14	Soil_140	Soil_141	Soil_142	Soil_143	Soil_144	Soil_145	Soil_146	Soil_147	Soil_148	Soil_149	Soil_15	Soil_150	Soil_152	Soil_154	Soil_155	Soil_156	Soil_16	Soil_161	Soil_163	Soil_166	Soil_167	Soil_169	Soil_17	Soil_171	Soil_172	Soil_174	Soil_176	Soil_177	Soil_179	Soil_18	Soil_181	Soil_182	Soil_184	Soil_188	Soil_189	Soil_190	Soil_191	Soil_192	Soil_193	Soil_194	Soil_195	Soil_196	Soil_197	Soil_198	Soil_199	Soil_2	Soil_201	Soil_202	Soil_203	Soil_204	Soil_205	Soil_206	Soil_207	Soil_208	Soil_210	Soil_211	Soil_215	Soil_216	Soil_217	Soil_218	Soil_220	Soil_221	Soil_222	Soil_223	Soil_226	Soil_227	Soil_228	Soil_229	Soil_230	Soil_231	Soil_232	Soil_233	Soil_234	Soil_235	Soil_236	Soil_237	Soil_238	Soil_26	Soil_29	Soil_3	Soil_34	Soil_4	Soil_5	Soil_6	Soil_7	Soil_8	Soil_80	Soil_81	Soil_83	Soil_84	Soil_85	Soil_86	Soil_87	Soil_88	Soil_89	Soil_94	Soil_95	Soil_96	Soil_97	Soil_98	Soil_99
11	15037	810	0	120	21	3	0	0	1	0	1	5	4	818	57	231	69	1704	11	40245	19	5	1	0	4	4876	1	23	374	1888	143	33	9	31	44216	15	29	6896	209	637	16	257	16	7435	33	16	6259	9	37	613	36	11	48646	70	49	51	38	6	1	14	0	2096	1	6	3	1	6	3	828	1	2	12414	0	1	1404	2	2	0	12	2	109	57	3881	18	494	1405	190	8	0	8	2	10	21	6564	202	205	73	132	10	0	17	0	15	7952	3	1	2092	7	6	8344	1	1	718	130	7	0	3	37	3	47	12	2	1	6	7	1	4	136	25	12	39	64	0	7	5	0	2301	14468	6	132	47	0	0	10807	492	1200	7762	416	19	0	7	5	31	24	2732	10	27	925	56	9	72300	9	1460	26	18
12	1577	7	306	1460	193	267	23	148	2281	1536	6111	1176	369	273	338	5389	252	966	1403	978	2688	3872	303	521	39059	2038	1380	619	1259	1803	9644	5684	454	687	1292	973	1027	7308	668	360	2572	3908	1809	1681	723	4118	1865	1474	1642	1028	790	1258	1993	2430	6068	779	1799	1763	184	1285	180	569	514	1816	2926	307	548	277	175	250	247	722	61	1548	4771	1378	356	252	818	569	3048	2257	1600	1382	3580	499	8200	3371	997	5437	326	1727	1034	2387	6448	748	1812	5207	29	300	290	140	764	195	230	2172	990	1441	243	2649	3019	2746	12297	9274	2106	344	412	568	1372	1299	1121	1147	1724	4249	1283	2227	835	711	5935	203	1736	562	1595	2880	366	1618	1167	1303	3741	1779	2587	65	415	1617	168	1132	2025	3511	1119	888	739	714	3618	1181	1233	2687	1629	609	3463	1652	4719	869	1080	398	1069
13	95	1	3	1	81	2280	2220	2	11	16	12	12	143	28457	21	117	15045	8	63	4	20508	5	2	197	3	5	27970	29980	62	0	1	0	0	96	16	234	0	1	0	1	3	0	122	7	7	3	0	0	0	39	89	13	1	594	4098	0	43	23907	367	1	42	0	1	0	10	1	0	0	244	0	0	6	1	59	8	86	1	2	0	1	4698	0	1767	0	0	6082	0	0	796	30	0	17140	26	1951	0	1130	117	52974	0	1	0	1	0	1	0	0	0	0	118	0	15	0	1	8531	2	0	1	10	0	0	19182	0	3055	0	3	1	13	1	0	0	1	0	10	0	14138	9	0	0	1497	267	103	0	0	8854	595	1	0	237	0	295	24783	55	0	0	0	509	0	58	0	7	0	39	0	551	2
14	4	15	5	49	3	8785	2	3	2	643	3	4	144	45759	26	7	1	91	99	169	79123	14	4	89633	12103	70845	11	21	0	31	0	0	0	0	0	0	0	51	31	11	0	2336	0	0	7	0	61	0	67	0	0	14	0	0	0	20	59	0	0	0	0	0	0	0	0	0	6	0	0	0	8	10	2	0	57	257	1	0	0	83	0	45	0	10	6	25	0	0	1	29	1858	52	0	0	0	0	77	0	0	0	0	0	0	101	0	0	0	0	42	60	0	0	1	68	0	0	2098	1	0	0	0	0	0	1	2	0	0	2	7	147	0	1162	0	135	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	41	0	13	0	360	365	0	232	4	236	365	0	0
15	1	7	2453	10009	839	104	21	389	4641	21729	112	4067	3988	3277	868	677	4	4969	5893	869	2231	659	25	7255	179289	43	51	5727	187	112	72	39	1	9	0	0	737	180	108	381	792	225	82	85	173	82	295	241	71	220	199	554	118	58	128	219	657	31	0	0	0	23	34	94	207	1321	43	20	0	8	13	50	92	98	96	264	49	30	7	39	92	7	0	227	578	182	48	1466	41	55	62	241	96	0	317	0	79	20	0	0	0	544	367	1594	93	132	70	69	870	43	61	142	129	5	207	190	81	549	257	145	0	4	25	0	318	274	242	27	17	140	6	36	7	247	19	0	696	26	147	489	123	27	388	213	865	551	418	387	234	0	1	0	91	672	566	584	1827	378	63	240	150	5	99	153	92
16	0	1876	17	3503	567	60	23	30946	48	6908	18	92801	20097	2077	705	43795	30	4354	766	3450	10028	10379	326	1208	941	1296	5	1763	14	39	204	101	0	70	15	69	7	173	29	737	913	46	58	122	66	2	576	60	113	177	70	1306	436	349	74	330	342	15	8	52	0	1042	118	158	1100	509	197	65	1	15	1	67	58	5	22	131	82	98	20	62	0	3045	90	448	286	196	93	977	1	2	84	1	278	60	794	0	95	4	0	1268	0	3670	317	24	97	16	322	928	437	4	0	0	30	0	18	966	197	41	85	742	0	0	133	1	338	69	597	47	4	156	143	236	1452	0	51	756	806	99	392	49	203	27	198	16	88	639	618	317	143	1	0	0	45	2569	337	138	3551	106	202	940	145	53	41	0	23
17	19649	1	0	6	26	0	0	0	1	1	4	0	2	7450	4	37	352	28327	6	746	9136	0	2	1	1	10	1	21	11530	4	8	8	7	1107	11366	9	1	0	0	0	11142	2	3064	12	4	1	0	0	0	2	0	1	0	0	0	2	0	15824	5	923	0	1	3	1	2	13	2	2	174	1	0	7088	0	4	1	1	0	0	1	2	1	20	0	4311	0	1652	0	1	7414	84	1338	1	1013	1	4	16	68	0	9987	0	0	0	0	9271	0	0	0	16	0	29	131	1	0	17518	4308	1	0	3	0	0	1	1	15508	5916	0	1	2	7771	0	1026	354	1	2	0	0	1	5155	0	260	188	71	735	0	1	0	0	18	81	1	6883	21607	214	15	3	14	0	4	4450	3121	12	0	3	0	14	19669
18	0	2	2	2	3	2	379	0	1	2	1	9	0	1	21	21	245709	2	3	4	0	1	247	3	2	105	0	3	126	0	0	0	0	4	0	0	0	0	0	0	0	0	0	29	0	0	0	4	2	1	0	0	0	0	0	0	2	0	405	6	337	0	0	2	0	0	1	0	0	0	22	0	40	0	0	0	1	0	0	0	0	10	26	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	39	0	0	0	0	0	0	0	0	27	0	0	72	0	0	0	0	0	0	0	0	1	0	44	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	58	0	2	0	0	0	0	2	0	0	0	0	0	0
19	0	17	1	2	34155	25	0	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	225	5	2	0	0	0	1	0	0	0	1	128	1346	0	0	0	0	0	129618	37	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6141	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	1	1	368	0	1	0	48753	0
20	5	0	29	0	0	702	44	1	1136	9	3	0	24	155	1892	14	37	906	545	1084	16558	4225	1	0	1	0	20	0	1	411	6077	4	0	410	0	49	0	0	15	0	337	20759	164	16	0	0	4	1025	397	470	1	952	0	1	1046	1122	1985	5066	622	5	2060	0	611	542	9809	0	1	1	104	4	44	1	0	1483	0	8	2	31	7	0	21027	0	2993	1263	0	79	292	0	678	5801	1	4537	0	22	1	880	3412	1456	1	0	77	6	0	2998	1	0	16	4	0	586	75	971	0	13634	0	49	0	0	6432	202	2598	0	5	234	0	0	1649	4809	0	1	62	14	510	0	7	0	3214	1	1	153	2457	0	1	2455	262	146	10	6062	928	0	2103	2640	2607	7	67	6469	9	2450	4	1	13527	46	1304	0	3445
